win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A2_w4,A2,r5,model:deepseek_flash_nothink,stardist_he,123,61,0,0,17,19,0.15447154471544716,0.2786885245901639,0.7213114754098361,4244.51473104317,0.0,0.9473684210526315
A2_w4,A2,r5,model:deepseek_flash_nothink,spaceranger,123,110,0,0,36,37,0.3008130081300813,0.32727272727272727,0.6727272727272727,7654.042957618832,0.0,0.8918918918918919
A3_w1,A3,r1,model:deepseek_flash_nothink,cellpose_rgb,68,58,0,0,7,7,0.10294117647058823,0.1206896551724138,0.8793103448275862,2578.180431567611,1.9294972188064083,0.42857142857142855
A3_w1,A3,r1,model:deepseek_flash_nothink,stardist_he,68,38,0,0,5,5,0.07352941176470588,0.13157894736842105,0.868421052631579,1689.1526965442968,0.0,0.8
A3_w1,A3,r1,model:deepseek_flash_nothink,spaceranger,68,61,0,0,7,7,0.10294117647058823,0.11475409836065574,0.8852459016393442,2711.534591821108,1.8526226231290859,0.42857142857142855
A3_w2,A3,r3,model:deepseek_flash_nothink,cellpose_rgb,42,81,0,0,12,12,0.2857142857142857,0.14814814814814814,0.8518518518518519,3600.562326844422,0.0,1.0
A3_w2,A3,r3,model:deepseek_flash_nothink,stardist_he,42,44,0,0,4,4,0.09523809523809523,0.09090909090909091,0.9090909090909091,1955.861017051291,0.0,1.0
A3_w2,A3,r3,model:deepseek_flash_nothink,spaceranger,42,53,0,0,3,3,0.07142857142857142,0.05660377358490566,0.9433962264150944,2355.923497811782,0.0,1.0
A3_w3,A3,r4,model:deepseek_flash_nothink,cellpose_rgb,93,85,1,0,10,10,0.10752688172043011,0.11764705882352941,0.8823529411764706,3778.367873849085,0.0,0.9
A3_w3,A3,r4,model:deepseek_flash_nothink,stardist_he,93,59,0,0,8,8,0.08602150537634409,0.13559322033898305,0.864406779661017,2622.6318183187764,0.0,0.875
A3_w3,A3,r4,model:deepseek_flash_nothink,spaceranger,93,76,0,0,10,10,0.10752688172043011,0.13157894736842105,0.868421052631579,3378.3053930885935,0.0,0.9
A3_w4,A3,r5,model:deepseek_flash_nothink,cellpose_rgb,24,19,0,0,7,7,0.2916666666666667,0.3684210526315789,0.631578947368421,844.5763482721484,0.0,0.8571428571428571
A3_w4,A3,r5,model:deepseek_flash_nothink,stardist_he,24,11,0,0,3,3,0.125,0.2727272727272727,0.7272727272727273,488.9652542628227,0.0,1.0
A3_w4,A3,r5,model:deepseek_flash_nothink,spaceranger,24,16,0,0,7,7,0.2916666666666667,0.4375,0.5625,711.2221880186512,0.0,0.8571428571428571
A4_w1,A4,f1,model:deepseek_flash_nothink,cellpose_rgb,72,62,0,0,31,33,0.4583333333333333,0.5,0.5,17247.088241788148,0.0,0.696969696969697
A4_w1,A4,f1,model:deepseek_flash_nothink,stardist_he,72,46,0,0,24,26,0.3611111111111111,0.5217391304347826,0.4782608695652174,12796.226760036367,0.0,0.7307692307692307
A4_w1,A4,f1,model:deepseek_flash_nothink,spaceranger,72,76,0,0,43,45,0.625,0.5657894736842105,0.4342105263157895,21141.592038320952,0.0,0.7111111111111111
A4_w2,A4,p1,model:deepseek_flash_nothink,cellpose_rgb,184,100,0,0,97,102,0.5543478260869565,0.97,0.030000000000000027,27817.884260948624,0.0,0.7647058823529411
A4_w2,A4,p1,model:deepseek_flash_nothink,stardist_he,184,96,0,0,94,98,0.532608695652174,0.9791666666666666,0.02083333333333337,26705.16889051068,0.0,0.8469387755102041
A4_w2,A4,p1,model:deepseek_flash_nothink,spaceranger,184,119,2,0,116,120,0.6521739130434783,0.9747899159663865,0.025210084033613467,33103.28227052886,0.0,0.8416666666666667
A4_w3,A4,p2,model:deepseek_flash_nothink,cellpose_rgb,184,98,1,0,94,95,0.5163043478260869,0.9591836734693877,0.04081632653061229,27261.52657572965,0.0,0.7263157894736842
A4_w3,A4,p2,model:deepseek_flash_nothink,stardist_he,184,86,0,0,81,82,0.44565217391304346,0.9418604651162791,0.05813953488372092,23923.380464415815,0.0,0.8170731707317073
A4_w3,A4,p2,model:deepseek_flash_nothink,spaceranger,184,111,1,0,106,107,0.5815217391304348,0.954954954954955,0.04504504504504503,30877.851529652973,0.0,0.8317757009345794
A4_w4,A4,p3,model:deepseek_flash_nothink,cellpose_rgb,138,90,0,0,82,84,0.6086956521739131,0.9111111111111111,0.0888888888888889,25036.09583485376,0.7191082401236033,0.5
A4_w4,A4,p3,model:deepseek_flash_nothink,stardist_he,138,86,0,0,82,84,0.6086956521739131,0.9534883720930233,0.046511627906976716,23923.380464415815,0.0,0.5952380952380952
A4_w4,A4,p3,model:deepseek_flash_nothink,spaceranger,138,111,1,0,102,102,0.7391304347826086,0.918918918918919,0.08108108108108103,30877.851529652973,0.0,0.6862745098039216
A5_w1,A5,r1,model:deepseek_flash_nothink,cellpose_rgb,112,77,0,0,7,7,0.0625,0.09090909090909091,0.9090909090909091,1232.8928435335213,0.0,1.0
A5_w1,A5,r1,model:deepseek_flash_nothink,stardist_he,112,94,0,0,9,9,0.08035714285714286,0.09574468085106383,0.9042553191489362,1505.08996483313,0.0,1.0
A5_w1,A5,r1,model:deepseek_flash_nothink,spaceranger,112,72,0,0,5,5,0.044642857142857144,0.06944444444444445,0.9305555555555556,1152.8348666806953,0.0,1.0
A5_w2,A5,r2,model:deepseek_flash_nothink,cellpose_rgb,61,50,0,0,18,18,0.29508196721311475,0.36,0.64,800.5797685282606,0.0,1.0
A5_w2,A5,r2,model:deepseek_flash_nothink,stardist_he,61,62,0,0,17,17,0.2786885245901639,0.27419354838709675,0.7258064516129032,992.7189129750432,0.0,1.0
A5_w2,A5,r2,model:deepseek_flash_nothink,spaceranger,61,37,0,0,12,12,0.19672131147540983,0.32432432432432434,0.6756756756756757,592.4290287109129,0.0,1.0
A5_w3,A5,r3,model:deepseek_flash_nothink,cellpose_rgb,58,42,0,0,15,15,0.25862068965517243,0.35714285714285715,0.6428571428571428,672.4870055637389,0.0,1.0
A5_w3,A5,r3,model:deepseek_flash_nothink,stardist_he,58,45,0,0,11,11,0.1896551724137931,0.24444444444444444,0.7555555555555555,720.5217916754345,0.0,0.9090909090909091
A5_w3,A5,r3,model:deepseek_flash_nothink,spaceranger,58,11,0,0,4,4,0.06896551724137931,0.36363636363636365,0.6363636363636364,176.12754907621735,0.0,0.75
