win_id,target,x_img_px,y_img_px,x_win_px,y_win_px,x_um,y_um
A6_w1,9,515.5336380436452,175.9006304070704,478.53363804364517,138.9006304070704,746.5560722060989,558.0004841879311
A6_w1,10,891.70125324496,615.1949017886456,854.70125324496,578.1949017886456,849.5550645447121,678.2842764761444
A6_w2,1,930.1880653855993,351.38453435576434,893.1880653855993,314.38453435576434,384.4827410547329,439.57263377429535
A6_w2,2,136.79061628618516,494.45746327353305,99.79061628618516,457.45746327353305,167.24145158984376,478.7476369217027
A6_w2,3,273.1991235303106,230.78650676308018,236.1991235303106,193.78650676308018,204.59165991397128,406.5515154799331
A6_w2,4,344.991193817219,897.5416569651151,307.991193817219,860.5416569651151,224.24914928475914,589.1166960860235
A6_w2,5,419.52484402831357,384.7032489454788,382.52484402831357,347.7032489454788,244.657314572866,448.69567863535235
A6_w2,6,891.282056851691,811.543788644867,854.282056851691,774.543788644867,373.8298312534321,565.5694968527405
A6_w2,7,744.8228444724253,318.18020355312274,707.8228444724253,281.18020355312274,333.72762499174166,430.48090850145445
A6_w2,8,740.9888595421231,505.67207987000495,703.9888595421231,468.67207987000495,332.6778360984282,481.8183271199599
A6_w2,9,131.87921261251694,803.2014981512948,94.87921261251694,766.2014981512948,165.89665313055784,563.2852823698587
A6_w2,10,548.175776155593,110.28534551957719,511.175776155593,73.28534551957719,279.88341016709086,373.556920299082
A6_w3,1,151.4156163193926,306.90686982665744,114.4156163193926,269.90686982665744,266.2585096849107,457.51339809437866
A6_w3,2,533.876156484375,603.6385477558895,496.876156484375,566.6385477558895,370.98057680170064,538.7619229183465
A6_w3,3,507.0348919880711,421.06624427054476,470.0348919880711,384.06624427054476,363.6311318083193,488.7715395679186
A6_w3,4,57.33998249439373,848.2662917667869,20.33998249439373,811.2662917667869,240.4995259339953,605.7437951289733
A6_w3,5,282.33095308535974,661.848542634426,245.33095308535974,624.848542634426,302.1046251495512,554.7004848100087
A6_w3,6,707.7853798310645,820.4121826235433,670.7853798310645,783.4121826235433,418.5989097980528,598.1170216952515
A6_w3,7,483.101081199955,69.97433355155158,446.101081199955,32.97433355155158,357.07778087012196,392.63856171191236
A6_w3,8,754.9542253905412,343.2898097583645,717.9542253905412,306.2898097583645,431.514278814606,467.4754628757305
A6_w3,9,64.35618168702555,485.1037750618629,27.356181687025554,448.1037750618629,242.4206414625113,506.30574739659835
A6_w3,10,409.14453704687764,850.3625185486284,372.14453704687764,813.3625185486284,336.8276338165632,606.3177659800455
A6_w4,1,112.59143951845688,538.499182444846,75.59143951845688,501.49918244484604,243.85411489158804,829.5115009182248
A6_w4,2,773.3682900002234,575.7632363236311,736.3682900002234,538.7632363236311,424.7823687070605,839.7148247687178
A6_w4,3,562.6191303187501,811.3582465762242,525.6191303187501,774.3582465762242,367.07684009108897,904.2234312393621
A6_w4,4,529.3032726774699,624.781755648952,492.30327267746986,587.781755648952,357.95457749516584,853.1366556026584
A6_w4,5,884.2431716176469,336.82447721056343,847.2431716176469,299.82447721056343,455.14117850557545,774.2906616436871
A6_w4,6,65.2005272349401,68.79551931135445,28.200527234940097,31.795519311354454,230.87794146794673,700.9012696131882
A6_w4,7,199.65051595484553,751.5628122039652,162.65051595484553,714.5628122039652,267.6918850358346,887.850757894007
A6_w4,8,643.0980941831709,339.1153368038669,606.0980941831709,302.1153368038669,389.11290020768047,774.9179251830357
A6_w4,9,829.4287837457401,147.93122478872067,792.4287837457401,110.93122478872067,440.13237262141445,722.5695302310297
A6_w4,10,792.4735562352524,786.0816956587389,755.4735562352524,749.0816956587389,430.0136089602009,897.3024227072923
