win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A3_w4,A3,Luca,spaceranger,37,16,15,0.5660377358490566,0.9375,0.75,0.02830188679245283,0.031288913116560374,0.046875,0.5377358490566038
A3_w4,A3,model:deepseek_flash_nothink,cellpose_rgb,24,19,7,0.32558139534883723,0.3684210526315789,0.85,0.03953488372093023,0.036844138413383395,0.04473684210526316,0.286046511627907
A3_w4,A3,model:deepseek_flash_nothink,stardist_he,24,11,3,0.17142857142857143,0.2727272727272727,0.5,0.02857142857142857,0.04237827706911807,0.045454545454545456,0.14285714285714285
A3_w4,A3,model:deepseek_flash_nothink,spaceranger,24,16,7,0.35,0.4375,0.4,0.02,0.029154759474226504,0.025,0.32999999999999996
A3_w4,A3,model:deepseek_flash_think,cellpose_rgb,42,19,2,0.06557377049180328,0.10526315789473684,1.35,0.04426229508196721,0.0430932440265407,0.07105263157894737,0.02131147540983607
A3_w4,A3,model:deepseek_flash_think,stardist_he,42,11,0,0.0,0.0,0.75,0.02830188679245283,0.028923980597652627,0.06818181818181818,-0.02830188679245283
A3_w4,A3,model:deepseek_flash_think,spaceranger,42,16,0,0.0,0.0,1.55,0.053448275862068975,0.04558380712552512,0.096875,-0.053448275862068975
A3_w4,A3,model:gpt6_astra,cellpose_rgb,37,19,16,0.5714285714285714,0.8421052631578947,1.7,0.06071428571428571,0.04670248868079293,0.08947368421052632,0.5107142857142857
A3_w4,A3,model:gpt6_astra,stardist_he,37,11,11,0.4583333333333333,1.0,0.55,0.022916666666666665,0.03083051788947654,0.05,0.4354166666666667
A3_w4,A3,model:gpt6_astra,spaceranger,37,16,14,0.5283018867924528,0.875,1.15,0.043396226415094344,0.03218626813062638,0.071875,0.4849056603773585
A4_w1,A4,Luca,cellpose_rgb,67,62,52,0.8062015503875969,0.8387096774193549,25.9,0.4015503875968992,0.03857319474302241,0.41774193548387095,0.4046511627906977
