tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
17791,24378,29730,0.5984191052808611,0.7297973582738535,0.6576107045168922,0.6823559969326028,0.5854922279792746,A4,p2,cellpose_rgb,spaceranger,24366.593504025754,29713.299640268233,0.21942772326214238
20110,21444,29730,0.6764211234443324,0.9377914568177579,0.7859459881971314,0.6848558665109561,0.6170212765957447,A4,p2,stardist_he,spaceranger,21543.54873836597,29713.299640268233,0.37922029472113417
11780,24378,28741,0.40986743676281273,0.4832225777340225,0.4435324460174326,0.6175848535960907,0.5786433501150268,A4,p2,cellpose_rgb,cellpose_hed,24366.593504025754,28862.36764150886,0.18450564855281604
22579,25313,23083,0.9781657496859161,0.8919922569430727,0.9330936441028184,0.8709097544586567,0.8391304347826087,A4,p3,cellpose_rgb,stardist_he,25150.96003826176,23077.375560628,-0.08244553983145177
18660,25313,30231,0.6172471965862856,0.7371706237901473,0.671899755149071,0.6808090955752854,0.5839793281653747,A4,p3,cellpose_rgb,spaceranger,25150.96003826176,30057.9767288242,0.19510256002544124
21828,23083,30231,0.7220402897687804,0.9456309838409219,0.8188468319765915,0.7026830729628801,0.6180555555555556,A4,p3,stardist_he,spaceranger,23077.375560628,30057.9767288242,0.30248678624036046
15282,25313,29851,0.5119426484874878,0.6037214079721882,0.5540569936915379,0.6313267484446301,0.5911330049261084,A4,p3,cellpose_rgb,cellpose_hed,25150.96003826176,29825.023409977206,0.1858403561774527
1017,1478,1419,0.7167019027484144,0.6880920162381596,0.7021056265101829,0.8324554875884104,0.8726307808946171,A5,r1,cellpose_rgb,stardist_he,1698.523918248459,1902.2931649522995,0.11996842936069463
787,1478,991,0.7941473259334006,0.5324763193504736,0.6375050627784529,0.7340374842305335,0.7914325842696629,A5,r1,cellpose_rgb,spaceranger,1698.523918248459,1327.1812778736974,-0.21862667719021306
893,1419,991,0.9011099899091827,0.6293164200140944,0.7410788381742739,0.7465558810655926,0.7820620284995808,A5,r1,stardist_he,spaceranger,1902.2931649522995,1327.1812778736974,-0.3023255813953488
856,1478,1306,0.655436447166922,0.5791610284167794,0.6149425287356322,0.7778661509571659,0.8696957653641398,A5,r1,cellpose_rgb,cellpose_hed,1698.523918248459,1648.9221937218663,-0.02920284135753751
648,777,985,0.6578680203045685,0.833976833976834,0.735527809307605,0.8017911405525513,0.8778545589975995,A5,r2,cellpose_rgb,stardist_he,924.8863459862564,1172.4749688500162,0.2676962676962678
455,777,654,0.6957186544342507,0.5855855855855856,0.6359189378057303,0.6550563789182536,0.8082687338501292,A5,r2,cellpose_rgb,spaceranger,924.8863459862564,778.4757661197061,-0.15830115830115835
567,985,654,0.8669724770642202,0.5756345177664974,0.6918852959121415,0.6905686521642427,0.7784615384615384,A5,r2,stardist_he,spaceranger,1172.4749688500162,778.4757661197061,-0.3360406091370559
