archetype,roi_id,method,scale,um_per_px,n_keep,n_keep_native,density_rel,area_rel
A5,r1,stardist_he,4,1.0960941244550944,143,1419,0.1007751937984496,2.197802197802198
A5,r2,stardist_he,4,1.0960941244550944,200,985,0.20304568527918782,2.0501635768811344
A5,r3,stardist_he,4,1.0960941244550944,132,835,0.15808383233532936,2.9152542372881354
A5,r4,stardist_he,4,1.0960941244550944,190,748,0.25401069518716574,3.9011082693947143
A5,r5,stardist_he,4,1.0960941244550944,176,1182,0.14890016920473775,2.3028785982478093
A6,r1,stardist_he,4,1.0952457168168608,25,501,0.0499001996007984,9.638095238095238
A6,r2,stardist_he,4,1.0952457168168608,41,719,0.05702364394993046,8.60377358490566
A6,r3,stardist_he,4,1.0952457168168608,40,941,0.04250797024442082,9.215189873417723
A6,r4,stardist_he,4,1.0952457168168608,30,1064,0.02819548872180451,8.830769230769231
A6,r5,stardist_he,4,1.0952457168168608,134,888,0.15090090090090091,9.76051779935275
