archetype,roi_id,method,other,cls,n,frac_of_method,od_in_median,od_ring_median,od_tissue_median,frac_nuclear_evidence,area_median
A2,r3,cellpose_rgb,stardist_he,exclusive,2269,0.41824884792626726,0.037646707807227724,0.024420223328575724,0.024155759610002697,0.7681798148964302,28.466702682360733
A2,r3,stardist_he,cellpose_rgb,matched,3155,0.9097462514417531,0.0414755534254042,0.024177517318879915,0.024155759610002697,0.8855784469096672,31.538110077036496
A2,r3,stardist_he,cellpose_rgb,exclusive,309,0.08910034602076125,0.04134482091132625,0.02608305647439598,0.024155759610002697,0.7734627831715211,33.7105689659535
A2,r3,cellpose_rgb,spaceranger,matched,4128,0.7609216589861751,0.04021588307878842,0.022268370439483424,0.024155759610002697,0.9152131782945736,31.163548199637013
A2,r3,cellpose_rgb,spaceranger,exclusive,1296,0.23889400921658988,0.03791174289534509,0.025118301475482475,0.024155759610002697,0.7237654320987654,30.451880632577996
A2,r3,spaceranger,cellpose_rgb,matched,4128,0.647935959817925,0.03744369024753731,0.022340744294261024,0.024155759610002697,0.8287306201550387,35.73320310391071
A2,r3,spaceranger,cellpose_rgb,exclusive,2242,0.351907078951499,0.03582078550309697,0.02250167994575286,0.024155759610002697,0.7230151650312221,23.672310651647347
A2,r3,stardist_he,spaceranger,matched,3139,0.9051326412918108,0.04140407868322231,0.02415635544135552,0.024155759610002697,0.8856323669958586,31.68793482799629
A2,r3,stardist_he,spaceranger,exclusive,325,0.09371395617070358,0.04233038140287297,0.026481719304018707,0.024155759610002697,0.7784615384615384,32.886532835674636
A2,r3,spaceranger,stardist_he,matched,3139,0.4927013027782138,0.03816070918892199,0.02166232608702461,0.024155759610002697,0.8808537750876075,36.257589732269984
A2,r3,spaceranger,stardist_he,exclusive,3231,0.5071417359912102,0.03571229227563962,0.023075886907978828,0.024155759610002697,0.7047353760445683,24.7210839083659
A2,r4,cellpose_rgb,stardist_he,matched,3491,0.46746116764863416,0.033285810726509504,0.01945881060008613,0.01770183623456572,0.8123746777427672,35.20881647555144
A2,r4,cellpose_rgb,stardist_he,exclusive,3977,0.5325388323513658,0.031105298089710787,0.02384621569691889,0.01770183623456572,0.5121951219512195,29.515475939079288
A2,r4,stardist_he,cellpose_rgb,matched,3491,0.913396127681842,0.03323578450932128,0.021950960743870408,0.01770183623456572,0.7006588370094529,35.50846597747102
A2,r4,stardist_he,cellpose_rgb,exclusive,331,0.08660387231815803,0.034794240635511134,0.02389130546620758,0.01770183623456572,0.6676737160120846,35.65829072843081
A2,r4,cellpose_rgb,spaceranger,matched,4839,0.6479646491697911,0.032830267647481315,0.020277891220759223,0.01770183623456572,0.7683405662326928,32.21232145635557
A2,r4,cellpose_rgb,spaceranger,exclusive,2629,0.35203535083020887,0.03090596239724588,0.024804058444803805,0.01770183623456572,0.4393305439330544,32.51197095827516
A2,r4,spaceranger,cellpose_rgb,matched,4839,0.7139274122159929,0.031428040450006606,0.021028477900497628,0.01770183623456572,0.6796858855135358,35.73320310391071
A2,r4,spaceranger,cellpose_rgb,exclusive,1939,0.28607258778400707,0.03304105762401833,0.02253879566564703,0.01770183623456572,0.6879834966477566,24.7210839083659
A2,r4,stardist_he,spaceranger,matched,3389,0.8867085295656725,0.033348492170955125,0.021571378715238197,0.01770183623456572,0.7273532015343759,34.83425459815195
A2,r4,stardist_he,spaceranger,exclusive,433,0.11329147043432758,0.03339675331492578,0.025982445359730124,0.01770183623456572,0.4665127020785219,42.92479114998079
A2,r4,spaceranger,stardist_he,matched,3389,0.5,0.031751531771002144,0.0199253818551349,0.01770183623456572,0.7359102980230157,36.257589732269984
A2,r4,spaceranger,stardist_he,exclusive,3389,0.5,0.031854256932503586,0.022859671347961408,0.01770183623456572,0.6282089111832398,27.792491303041665
A2,r5,cellpose_rgb,stardist_he,matched,3188,0.4932693795451029,0.03385621313841608,0.016779771906686322,0.015359269381002445,0.8557089084065245,33.29855090081407
