archetype,method,scale,n_roi,n_nuclei,density_median,density_min,density_max,area_median,area_min,area_max,eq_diam_median,ecc_median,nn_median_um,nuclear_area_fraction,frac_small,frac_large
A4,spaceranger,1,5,139391,29713.299640268233,23929.75800237944,31093.76596244511,19.937436219618977,19.412766845418478,20.537058361562405,5.038366026347631,0.7317917228850433,4.484708902807004,0.5989424484816074,0.004973493992164964,0.0
A4,stardist_he,1,5,102697,21543.54873836597,17092.10748953014,23077.375560628,15.964939529243768,15.665128458272054,16.639514438930124,4.508568768238845,0.5989410242136123,5.025737609026021,0.35840288051752944,5.079475053284912e-05,0.0
A4,stardist_he,2,5,3392,538.4882542326134,236.180520345576,1314.233978111867,32.37959566494511,31.18035138105825,35.82742298111982,6.4208240626218185,0.5678805612950226,10.895875973408124,0.02185136486531613,0.0,0.0035509220343866916
A4,stardist_he,4,5,7,1.002915832856326,0.0,3.0022947501556274,275.2265631520334,150.5051576278004,334.58915520443276,18.702826575320927,0.7782634366769139,347.96847861712126,0.0002985520003171365,0.0,0.8915617715617715
A4,stardist_he_repro,1,1,18623,18677.301555283357,18677.301555283357,18677.301555283357,16.639514438930124,16.639514438930124,16.639514438930124,4.60283475576058,0.6066873750552552,5.161885769520979,0.3284833224641172,0.00010738255033557047,0.0
A5,cellpose_hed,1,5,3817,848.7052312589457,576.520316202639,1648.9221937218663,59.170049736000266,52.93767140086318,89.65614135124913,8.679726216178821,0.57756190676968,18.10296747951339,0.07297354849012017,0.044968581638296014,0.0001818181818181818
A5,cellpose_rgb,1,5,4142,924.8863459862564,700.3200131121449,1698.523918248459,100.46894231823396,74.26291775241657,109.77996537313754,11.310217963297239,0.5522142443923503,17.989988884820317,0.08748810434415223,0.04401577174411291,0.0
A5,cellpose_rgb,2,5,3879,866.5601800231592,665.571310171466,1532.291111726905,118.18992168079241,94.01129729628468,136.9621455818077,12.267192887218666,0.5394451930992817,18.30506982192278,0.09939046647248444,0.0,0.0
A5,cellpose_rgb,4,5,3939,916.5540365629569,677.5997073432395,1528.269350278803,152.58063586745246,144.1706795597976,160.9905921751073,13.938138302774759,0.5784054793797183,18.401192485791427,0.14237679495633215,0.0,0.0006430868167202572
A5,spaceranger,1,5,3164,778.4757661197061,477.8712843190764,1327.1812778736974,56.91738286787842,44.490170645406295,65.32733917553328,8.512899779171283,0.6201807027473167,19.14568759728263,0.05573280061060269,0.0010056476637939399,0.0
A5,stardist_he,1,5,5169,1172.4749688500162,999.6934538318405,1902.2931649522995,54.66471599975659,44.03963727178193,68.85651726892416,8.342738046505298,0.6155969667952468,16.373999433719653,0.08411345196163948,0.00016906170752324596,0.0
A5,stardist_he,2,5,3434,851.0858910941741,670.0447230532894,1221.274893073675,119.54152180166551,97.61556428527962,124.79774449394979,12.337138760494717,0.5611104663887422,19.944798019701828,0.09221765890344169,0.0,0.0003759398496240601
A5,stardist_he,4,5,841,202.5153858568601,169.11262608610747,253.9328291818846,141.16712373563516,120.142232966498,171.80339314209215,13.406668142520598,0.5078358165013347,32.250944022737144,0.029387555220300093,0.0,0.0037509504097321955
A6,cellpose_hed,1,5,2669,522.2104675683386,397.49387858311394,811.1874987482181,21.62962359308365,16.15661658339524,26.090499169473524,5.247809636077638,0.8162938198204123,14.777695593247476,0.018606517127845525,0.011764538426234868,0.015775961173231684
A6,cellpose_rgb,1,5,2691,630.0245206923724,306.401531407817,724.2538849981784,18.218365799373753,14.244812764942441,22.41683693009363,4.816258275488691,0.8632167583237841,16.19855064425112,0.01788733722597315,0.009705385914555442,0.02027602665110632
A6,cellpose_rgb,2,5,1807,370.5379816288473,156.30618663033908,727.5016602672285,26.990171554627782,16.19410293277667,210.82322892114811,5.86216288945797,0.8273518251405038,17.040784189726978,0.023483905989055084,0.0,0.06033785806718609
A6,cellpose_rgb,4,5,511,49.998874554415394,28.983928646685392,333.43826095581306,165.53971886838374,45.58340084781581,232.1154753697989,14.504224418987116,0.46604085963658776,54.301240907672195,0.011194338189233492,0.0,0.18493874052093637
A6,spaceranger,1,5,4933,1121.0569544414386,729.6668437799286,1312.2781891125273,23.091591218959323,16.34404833030238,28.302193782977746,5.422280617123965,0.7721873425053443,15.224284113484678,0.02665352730277626,0.004990804853701495,0.0
A6,stardist_he,1,5,4113,974.0670305903913,542.3784699313712,1141.6712945345291,23.16656391772218,17.768529606796623,31.488533480399077,5.431075887490308,0.8133543549973216,15.867551186493397,0.023143801063588744,0.00018315018315018315,0.0
A6,stardist_he,2,5,988,196.6622399140339,145.06729535090568,289.17355836316574,47.98252720822717,35.986895406170376,59.97815901028396,7.81621718594396,0.6923675936964636,36.32879892836075,0.011107038611736796,0.0,0.0007968127490039841
A6,stardist_he,4,5,270,41.4056123524077,27.06479390875106,147.33557726488291,205.12530381517115,163.74037409807522,303.48948459203683,16.16086781219655,0.34631077194368687,70.88362378686064,0.007742475046686007,0.0,0.21421991915369398
